"CubeId";"babilhypisdpua"
"PublishingDate";"2020-09-24 09:00"

"Date";"INLANDAUSLAND";"BANKENGRUPPE";"Value"
"2002";"CHE1";"S10";"539800.725"
"2002";"CHE1";"G10";"192223.564"
"2002";"CHE1";"G15";"181508.542"
"2002";"CHE1";"G20";"61235.759"
"2002";"CHE1";"G25";"68570.353"
"2002";"ZH";"S10";"106640.277"
"2002";"ZH";"G10";"47880.248"
"2002";"ZH";"G15";"42040.718"
"2002";"ZH";"G20";"6694.904"
"2002";"ZH";"G25";"1585.541"
"2002";"BE";"S10";"60454.483"
"2002";"BE";"G10";"11264.42"
"2002";"BE";"G15";"23585.494"
"2002";"BE";"G20";"15828.321"
"2002";"BE";"G25";"5264.889"
"2002";"LU";"S10";"26045.32"
"2002";"LU";"G10";"11110.871"
"2002";"LU";"G15";"6524.997"
"2002";"LU";"G20";"3972.715"
"2002";"LU";"G25";"3660.194"
"2002";"UR";"S10";"2514.038"
"2002";"UR";"G10";"1442.38"
"2002";"UR";"G15";"513.396"
"2002";"UR";"G20";"5"
"2002";"UR";"G25";"541.984"
"2002";"SZ";"S10";"12264.063"
"2002";"SZ";"G10";"6702.195"
"2002";"SZ";"G15";"2693.255"
"2002";"SZ";"G20";"1345.595"
"2002";"SZ";"G25";"1246.958"
"2002";"OW";"S10";"2955.305"
"2002";"OW";"G10";"1908.895"
"2002";"OW";"G15";"487.102"
"2002";"OW";"G20";"90.286"
"2002";"OW";"G25";"447.801"
"2002";"NW";"S10";"3267.715"
"2002";"NW";"G10";"1577.925"
"2002";"NW";"G15";"872.101"
"2002";"NW";"G20";"17.942"
"2002";"NW";"G25";"738.159"
"2002";"GL";"S10";"2796.524"
"2002";"GL";"G10";"1733.015"
"2002";"GL";"G15";"607.827"
"2002";"GL";"G20";"278.334"
"2002";"GL";"G25";"159.34"
"2002";"ZG";"S10";"10836.415"
"2002";"ZG";"G10";"6013.691"
"2002";"ZG";"G15";"2519.948"
"2002";"ZG";"G20";"96.908"
"2002";"ZG";"G25";"1818.04"
"2002";"FR";"S10";"15731.83"
"2002";"FR";"G10";"5700.712"
"2002";"FR";"G15";"4960.998"
"2002";"FR";"G20";"1312.869"
"2002";"FR";"G25";"3293.473"
"2002";"SO";"S10";"20238.835"
"2002";"SO";"G10";"1317.565"
"2002";"SO";"G15";"5823.247"
"2002";"SO";"G20";"6034.773"
"2002";"SO";"G25";"5907.582"
